"accessionyear","technique","objectnumber","lastupdate","dated","copyright","period","url","provenance","objectid","culture","standardreferencenumber","worktypes","department","state","style","datebegin","dimensions","dateend","century","medium","people","primaryimageurl","images","reversedescription","metal","reverseInscription","obverseInscription","dieAxis","denomination","dateObject"
"1934","Struck","1934.68","2016-04-12T04:37:45-0400","172-151 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186524",NA,"186524","Roman Republican",NA,"list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-172",NA,"-151","2nd century BCE","Silver","NA",NA,"NA","","AR",NA,NA,NA,NA,NA
"1934","Struck","1934.72","2016-04-12T04:37:45-0400","c. 32-31 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186208",NA,"186208","Roman Republican","RRC 544/20","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-37","3.46 g","-27","1st century BCE","silver","list(birthplace = NA, name = ""Marc Antony"", prefix = ""Issued by"", personid = 20470, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""83-30 BCE"", deathplace = NA, displayname = ""Issued by Marc Antony"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736008"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc"", publiccaption = NA, idsid = ""18736008"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03565"")","Obv.: Galley r.; above, ANT[.AVG]; below, IIIVIR.R.P.C. Border of dots.","AR","Below, LEG - VII","Above, ANT.AVG; below, IIIVIR.R.P.C","12","denarius",NA
"1934","Struck","1934.68","2016-04-12T04:37:45-0400","172-151 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186524",NA,"186524","Roman Republican",NA,"list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-172",NA,"-151","2nd century BCE","Silver","NA",NA,"NA","","AR",NA,NA,NA,NA,NA
"1934","Struck","1934.72","2016-04-12T04:37:45-0400","c. 32-31 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186208",NA,"186208","Roman Republican","RRC 544/20","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-37","3.46 g","-27","1st century BCE","silver","list(birthplace = NA, name = ""Marc Antony"", prefix = ""Issued by"", personid = 20470, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""83-30 BCE"", deathplace = NA, displayname = ""Issued by Marc Antony"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736008"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03565_dynmc"", publiccaption = NA, idsid = ""18736008"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03565"")","Rev.: Aquila r. between two standards; between standards, LEG - VII. Border of dots.","AR","Below, LEG - VII","Above, ANT.AVG; below, IIIVIR.R.P.C","12","denarius",NA
"1942","Struck","1942.176.34","2016-04-12T04:37:32-0400","c. 67 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180072",NA,"180072","Roman Republican","RRC 409/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-72","3.97 g","-62","1st century BCE","silver","list(birthplace = NA, name = ""M. Plaetorius M.f. Cestianus"", prefix = ""Issued by"", personid = 25803, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Issued by M. Plaetorius M.f. Cestianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10798_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343705"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10798_dlvr"", publiccaption = NA, idsid = ""43343705"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10798"")","Obv.: Female bust r., draped, with attributes of Isis, Minerva, Apollo, Diana and Victory; before, cornucopiae; behind, CESTIANVS; before, S.C. Bead and reel border.","AR","Around, counter-clockwise, M.PLAETORIVS.M.F.AED.CVR","Behind, CESTIANVS downwards. Before, S.C downwards","3","denarius",NA
"1942","Struck","1942.176.43","2016-04-12T04:37:35-0400","c. 55 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181145",NA,"181145","Roman Republican","RRC 430/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-60","3.72 g","-50","1st century BCE","silver","list(birthplace = NA, name = ""P. Licinius M.f. P.n. Crassus"", prefix = ""Moneyer:"", personid = 53972, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: P. Licinius M.f. P.n. Crassus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03541_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735984"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03541_dynmc"", publiccaption = NA, idsid = ""18735984"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03541"")","Obv.: Bust of Venus r., draped, laureate and diademed; behind, S.C downwards. Border of dots.","AR","Around, clockwise, P.CRASSVS.M.F","Behind, S.C downwards","8","denarius",NA
"1942","Struck","1942.229","2016-04-12T04:37:45-0400","c. 141 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/186323",NA,"186323","Roman Republican","RRC 224/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-146","3.41 g","-136","2nd century BCE","silver","list(birthplace = NA, name = ""L. Julius"", prefix = ""Moneyer:"", personid = 55631, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Julius"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09414_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338038"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09414_dlvr"", publiccaption = NA, idsid = ""43338038"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09414"")","Obv.: Helmeted head of Roma r.; behind, mark of value (XVI). Border of dots.","AR","Below, L.IVLI (VL in ligature); in exergue, ROMA","Behind, mark of value (XVI)","12","denarius",NA
"1942","Struck","1942.176.29","2016-04-12T04:37:32-0400","c. 78 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/179832",NA,"179832","Roman Republican","RRC 385/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-83","3.93 g","-73","1st century BCE","silver","list(birthplace = NA, name = ""M. Volteius M.f."", prefix = ""Moneyer:"", personid = 25001, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: M. Volteius M.f."")","http://nrs.harvard.edu/urn-3:HUAM:COIN10800_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343707"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10800_dlvr"", publiccaption = NA, idsid = ""43343707"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10800"")","Obv.: Laureate head of Jupiter r. Border of dots. Crescent countermark on neck.","AR","Below, M.VOLTEI.M.F",NA,"10","denarius",NA
"1942","Struck","1942.176.16","2016-04-12T04:37:32-0400","after 211 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180079",NA,"180079","Roman Republican","RRC 56/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-211","27.79 g","-180","3rd-2nd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10819_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343726"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10819_dlvr"", publiccaption = NA, idsid = ""43343726"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10819"")","Obv.: Head of Janus, laureate; above, mark of value (I).","AE","Mark of value (I) above; ROMA below","Mark of value (I) above","9","as",NA
"1942","Struck","1942.176.27","2016-04-12T04:37:34-0400","c. 63 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180687",NA,"180687","Roman Republican","RRC 414/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-68","3.82 g","-58","1st century BCE","silver","list(birthplace = NA, name = ""L. Furius Cn.f. Brocchus"", prefix = ""Moneyer:"", personid = 26022, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Furius Cn.f. Brocchus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09415_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338039"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09415_dlvr"", publiccaption = NA, idsid = ""43338039"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09415"")","Obv.: Head of Ceres r.; to l., ear of corn; to r., barley grain; above, III-VIR; below, BROCCHI. Border of dots.","AR","Above, L.FVRI/CN.F","Above, III - VIR; below, BROCCHI","6","denarius",NA
"1942","Struck","1942.176.35","2016-04-12T04:37:34-0400","c. 67 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180997",NA,"180997","Roman Republican","RRC 409/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-72","3.86 g","-62","1st century BCE","silver","list(birthplace = NA, name = ""M. Plaetorius M.f. Cestianus"", prefix = ""Moneyer:"", personid = 25803, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: M. Plaetorius M.f. Cestianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09446_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43338070"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09446_dlvr"", publiccaption = NA, idsid = ""43338070"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09446"")","Obv.: Head of Cybele r.; behind, forepart of a lion; before, globe; behind, CESTIANVS. Bead and reel border.","AR","Around, counter-clockwise, M.PLAETORIVS.AED.CVR.EX.S.C","Behind, CESTIANVS downwards","6","denarius",NA
"1942","Struck","1942.176.47","2016-04-12T04:37:34-0400","c. 47-46 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181008",NA,"181008","Roman Republican","RRC 458/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-52","3.76 g","-42","1st century BCE","silver","list(birthplace = NA, name = ""Julius Caesar"", prefix = ""Issued by"", personid = 12665, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = ""100-44 BCE"", deathplace = NA, displayname = ""Issued by Julius Caesar"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03552_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735995"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03552_dynmc"", publiccaption = NA, idsid = ""18735995"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03552"")","Obv.: Head of Venus r., diademed. Border of dots.","AR","To r., CAESAR downwards",NA,"7","denarius",NA
"1942","Struck","1942.176.39","2016-04-12T04:37:35-0400","c. 90-87 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181440",NA,"181440","Roman Republican","RRC 341/3","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-95","2.12 g","-85","1st century BCE","silver","list(birthplace = NA, name = ""Q. Titius Mutto"", prefix = ""Moneyer:"", personid = 55505, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: Q. Titius Mutto"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03501_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735944"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03501_dynmc"", publiccaption = NA, idsid = ""18735944"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03501"")","Obv.: Bust of Victory r., draped. Border of dots.","AR","Below, Q.TITI",NA,"1","quinarius",NA
"1942","Struck","1942.176.41","2016-04-12T04:37:35-0400","c. 62 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181445",NA,"181445","Roman Republican","RRC 416/1a","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-67","3.83 g","-57","1st century BCE","silver","list(birthplace = NA, name = ""L. Scribonius Libo"", prefix = ""Moneyer:"", personid = 54080, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: L. Scribonius Libo"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03531_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735974"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03531_dynmc"", publiccaption = NA, idsid = ""18735974"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03531"")","Obv.: Head of Bonus Eventus r.; behind, LIBO downwards; before, BON.EVENT downwards. Border of dots.","AR","Above, PVTEAL; below, SCRIBON","Behind, LIBO downwards; before, BON.EVENT downwards","5","denarius",NA
"1942","Struck","1942.176.46","2016-04-12T04:37:35-0400","c. 48 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181476",NA,"181476","Roman Republican","RRC 450/3a","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-53","3.6 g","-43","1st century BCE","silver","list(birthplace = NA, name = ""D. Junius Brutus Albinus"", prefix = ""Moneyer:"", personid = 54044, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: D. Junius Brutus Albinus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03550_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735993"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03550_dynmc"", publiccaption = NA, idsid = ""18735993"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03550"")","Obv.: Head of A. Postumius r.; around, A.POST[VMIVS.]COS. Border of dots.","AR","ALBINVS/BRVTI.F within wreath of corn-ears","Around, counter-clockwise, A.POSTVMIVS.COS","1","denarius",NA
"1942","Struck","1942.176.54","2016-04-12T04:37:36-0400","c. 39 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181553",NA,"181553","Roman Republican","RRC 529/4b","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-44","1.7 g","-34","1st century BCE","silver","list(birthplace = c(NA, NA), name = c(""Marc Antony"", ""Octavian""), prefix = c(""Issued by"", ""Issued by""), personid = c(20470, 19678), role = c(""Coin Constituent"", ""Coin Constituent""), displayorder = 1:2, culture = c(""Roman"", ""Roman""), displaydate = c(""83-30 BCE"", ""r. 27 BCE - 14 CE""), deathplace = c(NA, NA), displayname = c(""Issued by Marc Antony"", ""Issued by Octavian""))","http://nrs.harvard.edu/urn-3:HUAM:COIN03564_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736007"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03564_dynmc"", publiccaption = NA, idsid = ""18736007"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03564"")","Obv.: Head of Concordia r., diademed and veiled; around, III.VIR.R.P.C. Border of dots.","AR","Around, counter-clockwise, M.ANTON.C.CAESAR.IMP","Around, counter-clockwise, III.VIR.R.P.C","10","quinarius",NA
"1942","Struck","1942.176.31","2016-04-12T04:37:32-0400","c. 46 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180057",NA,"180057","Roman Republican","RRC 463/1b","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-51","3.82 g","-41","1st century BCE","silver","list(birthplace = NA, name = ""Mn. Cordius Rufus"", prefix = ""Moneyer:"", personid = 26026, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: Mn. Cordius Rufus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10802_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343709"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10802_dlvr"", publiccaption = NA, idsid = ""43343709"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10802"")","Obv.: Jugate heads of Dioscuri r., pilei decorated with fillet; around, RVFVS.IIIVIR. Border of dots.","AR","Behind, MN.CORDIVS (MN in ligature)","Around, counter-clockwise, RVFVS.IIIVIR","11","denarius",NA
"1942","Struck","1942.176.23","2016-04-12T04:37:32-0400","c. 225-212 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180071",NA,"180071","Roman Republican","RRC 28/3","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-230","2.87 g","-207","3rd century BCE","gold (plated)","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10814_dlvr","list(iiifbaseuri = c(""http://ids.lib.harvard.edu/ids/iiif/43343721"", ""http://ids.lib.harvard.edu/ids/iiif/10206139"", ""http://ids.lib.harvard.edu/ids/iiif/10206140""), baseimageurl = c(""http://nrs.harvard.edu/urn-3:HUAM:COIN10814_dlvr"", ""http://nrs.harvard.edu/urn-3:HUAM:VRS35424_dynmc"", ""http://nrs.harvard.edu/urn-3:HUAM:VRS35425_dynmc""), publiccaption = c(NA, NA, NA), idsid = c(""43343721"", ""10206139"", ""10206140""), displayorder = 1:3, copyright = c(""President and Fellows of Harvard College"", ""President and Fellows of Harvard College"", 
""President and Fellows of Harvard College""), renditionnumber = c(""COIN10814"", ""35424"", ""35425""))","Obv.: Laureate, Janiform head of the Dioscuri. Border of dots.","AV",NA,NA,"12","didrachm",NA
"1942","Struck","1942.176.32","2016-04-12T04:37:33-0400","c. 48 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180398",NA,"180398","Roman Republican","RRC 449/1a","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-53","4.01 g","-43","1st century BCE","silver","list(birthplace = NA, name = ""C. Vibius C.f. C.n. Pansa Caetronianus"", prefix = ""Moneyer:"", personid = 26060, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: C. Vibius C.f. C.n. Pansa Caetronianus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN10797_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43343704"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN10797_dlvr"", publiccaption = NA, idsid = ""43343704"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN10797"")","Obv.: Mask of bearded Pan r.; below, PANSA. Border of dots.","AR","To r., C.VIBIVS.C.F.C.N downwards; to l., IOVIS.AXVR upwards","Below, PANSA","5","denarius",NA
"1942","Struck","1942.176.18","2016-04-12T04:37:33-0400","c. 217-215 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180627",NA,"180627","Roman Republican","RRC 38/7","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-222","5.57 g","-210","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09286_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43337910"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09286_dlvr"", publiccaption = NA, idsid = ""43337910"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09286"")","Obv.: Head of Mercury r.","AE",NA,NA,"12","semuncia",NA
"1942","Cast","1942.176.17","2016-04-12T04:37:34-0400","c. 235 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180689",NA,"180689","Roman Republican","Thurlow-Vecchi 167","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-240","10.81 g","-230","3rd century BCE","bronze","list(birthplace = NA, name = ""Anonymous"", prefix = NA, personid = 53049, role = ""Coin Constituent"", displayorder = 1, culture = NA, displaydate = NA, deathplace = NA, displayname = ""Anonymous"")","http://nrs.harvard.edu/urn-3:HUAM:COIN09284_dlvr","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/43337908"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN09284_dlvr"", publiccaption = NA, idsid = ""43337908"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN09284"")","Obv.: Cicada between two pellets.","AE","On l., VT (TV retrograde)",NA,"6","sextans",NA
"1942","Struck","1942.176.36","2016-04-12T04:37:34-0400","c. 113 or 112 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/180862",NA,"180862","Roman Republican","RRC 295/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-118","3.66 g","-107","2nd century BCE","silver","list(birthplace = NA, name = ""L. Manlius Torquatus"", prefix = ""Issued by"", personid = 55689, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Issued by L. Manlius Torquatus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03476_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735919"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03476_dynmc"", publiccaption = NA, idsid = ""18735919"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03476"")","Obv.: Helmeted head of Roma r.; behind, ROMA (MA in ligature); below chin, mark of value (X). All within torque, surrounded by border of dots.","AR","Below, L.TORQVA; above, Q; in exergue, EX.S.C","Behind, ROMA downwards (MA in ligature); before, mark of value (X)","5","denarius",NA
"1942","Struck","1942.176.42","2016-04-12T04:37:35-0400","c. 55 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181269",NA,"181269","Roman Republican","RRC 428/2","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-60","3.86 g","-50","1st century BCE","silver","list(birthplace = NA, name = ""Q. Cassius Longinus"", prefix = ""Moneyer:"", personid = 53977, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = NA, deathplace = NA, displayname = ""Moneyer: Q. Cassius Longinus"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03540_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18735983"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03540_dynmc"", publiccaption = NA, idsid = ""18735983"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03540"")","Obv.: Head of Libertas r.; to l., LIBERT upwards; to r., Q.CASSIVS downwards. Border of dots.","AR","Tablet on r. inscribed A C","To l., LIBERT upwards; to r., Q.CASSIVS downwards","9","denarius",NA
"1942","Struck","1942.176.57","2016-04-12T04:37:35-0400","c. 38 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181346",NA,"181346","Roman Republican","RRC 535/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-43","19.58 g","-33","1st century BCE","bronze","list(birthplace = NA, name = ""Octavian"", prefix = ""Issued by"", personid = 19678, role = ""Coin Constituent"", displayorder = 1, culture = ""Roman"", displaydate = ""r. 27 BCE - 14 CE"", deathplace = NA, displayname = ""Issued by Octavian"")","http://nrs.harvard.edu/urn-3:HUAM:COIN03575_dynmc","list(iiifbaseuri = ""http://ids.lib.harvard.edu/ids/iiif/18736018"", baseimageurl = ""http://nrs.harvard.edu/urn-3:HUAM:COIN03575_dynmc"", publiccaption = NA, idsid = ""18736018"", displayorder = 1, copyright = ""President and Fellows of Harvard College"", renditionnumber = ""COIN03575"")","Obv.: Head of Octavian, r.; before, CAESAR; behind, DIVI.F.","AE","Before, DIVOS downwards; behind, IVLIVS downwards","Before, CAESAR downwards; behind, DIVI.F downwards","1",NA,NA
"1942","Struck","1942.176.50","2016-04-12T04:37:36-0400","c. 46 BCE",NA,"Roman Republican period","http://harvardartmuseums.org/collections/object/181625",NA,"181625","Roman Republican","RRC 466/1","list(worktypeid = ""97"", worktype = ""coin"")","Department of Ancient and Byzantine Art & Numismatics",NA,NA,"-51","8.05 g","-41","1st century BCE","gold","list(birthplace = c(NA, NA), name = c(""A. Hirtius A.f."", ""Julius Caesar""), prefix = c(""Issued by"", ""Struck for""), personid = c(26033, 12665), role = c(""Coin Constituent"", ""Coin Constituent""), displayorder = 1:2, culture = c(""Roman"", NA), displaydate = c(NA, ""100-44 BCE""), deathplace = c(NA, NA), displayname = c(""Issued by A. Hirtius A.f."", ""Struck for Julius Caesar""))","http://nrs.harvard.edu/urn-3:HUAM:COIN03572_dynmc","list(iiifbaseuri = c(""http://ids.lib.harvard.edu/ids/iiif/18736015"", ""http://ids.lib.harvard.edu/ids/iiif/10206139"", ""http://ids.lib.harvard.edu/ids/iiif/10206140""), baseimageurl = c(""http://nrs.harvard.edu/urn-3:HUAM:COIN03572_dynmc"", ""http://nrs.harvard.edu/urn-3:HUAM:VRS35424_dynmc"", ""http://nrs.harvard.edu/urn-3:HUAM:VRS35425_dynmc""), publiccaption = c(NA, NA, NA), idsid = c(""18736015"", ""10206139"", ""10206140""), displayorder = 1:3, copyright = c(""President and Fellows of Harvard College"", ""President and Fellows of Harvard College"", 
""President and Fellows of Harvard College""), renditionnumber = c(""COIN03572"", ""35424"", ""35425""))","Obv.: Female head r., wearing veil; around, C.CA[ESAR] - COS.TER. Border of dots.","AV","To l., A.HIRTIVS.PR downwards","Around, clockwise, C.CAESAR COS.TER","2","aureus",NA
